title,genre,overview,vote_average
Avatar: The Way of Water,"['Science Fiction', 'Adventure', 'Action']","Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",7.7
Guardians of the Galaxy Vol. 3,"['Science Fiction', 'Adventure', 'Action']","Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.",8.1
The Black Demon,"['Horror', 'Thriller']","Oilman Paul Sturges' idyllic family vacation turns into a nightmare when they encounter a ferocious megalodon shark that will stop at nothing to protect its territory. Stranded and under constant attack, Paul and his family must somehow find a way to get his family back to shore alive before it strikes again in this epic battle between humans and nature.",6.3
The Little Mermaid,"['Adventure', 'Family', 'Fantasy', 'Romance']","The youngest of King Triton’s daughters, and the most defiant, Ariel longs to find out more about the world beyond the sea, and while visiting the surface, falls for the dashing Prince Eric. With mermaids forbidden to interact with humans, Ariel makes a deal with the evil sea witch, Ursula, which gives her a chance to experience life on land, but ultimately places her life – and her father’s crown – in jeopardy.",6.2
My Fault,"['Romance', 'Drama']","Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",8.4
Guy Ritchie's The Covenant,"['War', 'Action', 'Thriller']","During the war in Afghanistan, a local interpreter risks his own life to carry an injured sergeant across miles of grueling terrain.",7.6
Evil Dead Rise,"['Thriller', 'Horror']","A reunion between two estranged sisters gets cut short by the rise of flesh-possessing demons, thrusting them into a primal battle for survival as they face the most nightmarish version of family imaginable.",7.1
Black Clover: Sword of the Wizard King,"['Animation', 'Fantasy', 'Action', 'Adventure']","As a lionhearted boy who can’t wield magic strives for the title of Wizard King, four banished Wizard Kings of yore return to crush the Clover Kingdom.",8.8
Ant-Man and the Wasp: Quantumania,"['Action', 'Adventure', 'Science Fiction']","Super-Hero partners Scott Lang and Hope van Dyne, along with with Hope's parents Janet van Dyne and Hank Pym, and Scott's daughter Cassie Lang, find themselves exploring the Quantum Realm, interacting with strange new creatures and embarking on an adventure that will push them beyond the limits of what they thought possible.",6.5
Sisu,"['Action', 'War']","Deep in the wilderness of Lapland, Aatami Korpi is searching for gold but after he stumbles upon Nazi patrol, a breathtaking and gold-hungry chase through the destroyed and mined Lapland wilderness begins.",7.4
Tayuan,['Drama'],"Ella, an events project manager, usually takes a private transportation service. However, she is forced to take a bus, where bus conductor Rico becomes aroused when her body gets pressed into him due to the thick crowd.  This encounter deeply affects Ella, and from that night on, she starts pursuing Rico. Even after discovering that Rico is already married with a daughter, Ella doesn’t care at all and she’ll do anything to make him want her just as much.",10.0
Operation Seawolf,"['War', 'Thriller', 'Action', 'Adventure', 'Mystery', 'Science Fiction', 'Drama']","During the last days of World War II, Germany, desperate for any last grasp to defeat the allied powers, looked to their last remaining weapons and soldiers. The German Navy and the last remaining U-Boats were formed together for one desperate last mission – a mission to attack the United States Homeland, known as Operation Seawolf. Captain Hans Kessler, a grizzled submarine commander from both World Wars, is called into service to make one mission a success and help turn the tide of the war.",6.1
Accident Man: Hitman's Holiday,"['Action', 'Comedy', 'Crime']","The Accident Man is back, and this time he must best the top assassins in the world to protect the ungrateful son of a mafia boss, save the life of his only friend and rekindle his relationship with his maniacal father figure.",6.5
Puss in Boots: The Last Wish,"['Animation', 'Family', 'Fantasy', 'Adventure', 'Comedy']","Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",8.3
Elemental,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']","In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.",7.5
Shazam! Fury of the Gods,"['Comedy', 'Action', 'Fantasy']","Billy Batson and his foster siblings, who transform into superheroes by saying ""Shazam!"", are forced to get back into action and fight the Daughters of Atlas, who they must stop from using a weapon that could destroy the world.",6.7
Mother's Day,"['Action', 'Thriller', 'Drama']","Nina, a former NATO special operations agent living in hiding, has to use all her deadly skills to rescue her son who has been kidnapped by ruthless gangsters. Finding Max is a double opportunity for her. A chance to feel the adrenaline rush again, and an opportunity to get back into the life of the son she had to abandon years ago.",5.8
The Pope's Exorcist,"['Horror', 'Thriller']","Father Gabriele Amorth, Chief Exorcist of the Vatican, investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep hidden.",7.2
Spider-Man: Into the Spider-Verse,"['Action', 'Adventure', 'Animation', 'Science Fiction']","Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.",8.4
Blood & Gold,"['Action', 'Drama', 'War']","At the end of World War II, a German soldier is looking for his daughter while an SS troop is looking for a Jewish treasure.",6.6
Creed III,"['Drama', 'Action']","After dominating the boxing world, Adonis Creed has been thriving in both his career and family life. When a childhood friend and former boxing prodigy, Damian Anderson, resurfaces after serving a long sentence in prison, he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score, Adonis must put his future on the line to battle Damian — a fighter who has nothing to lose.",7.2
The Three Musketeers,"['Action', 'Adventure']","France is in turmoil and a new, naive King finds himself manipulated by the evil Cardinal Richelieu. With a corrupt commander of the royal guard by his side the Cardinal employs the expertise of the devious and wicked Milady de Winter in a plot to bring down the monarchy and drag the country into war. As France burns the Cardinal will take control. All that stands between them and victory are the remnants of an elite group who wore loyalty to crown and country. Above all else The Musketeers will stand against the odds to foil this deadly plot.",5.3
Extraction,"['Action', 'Thriller']","Tyler Rake, a fearless mercenary who offers his services on the black market, embarks on a dangerous mission when he is hired to rescue the kidnapped son of a Mumbai crime lord.",7.3
Project Wolf Hunting,"['Action', 'Thriller', 'Horror']","While under heavily armed guard, the dangerous convicts aboard a cargo ship unite in a coordinated escape attempt that soon escalates into a bloody, all-out riot. But as the fugitives continue their brutal campaign of terror, they soon discover that not even the most vicious among them is safe from the horror they unknowingly unleashed from the darkness below deck.",6.4
The Tank,"['Horror', 'Thriller']","In 1978 Oregon, Ben and Jules inherit an abandoned coastal property from Ben's late mother, who's never mentioned it. The untouched house has been kept a secret for 40 years and comes with a beautiful private cove and beach. Jules searches for answers while Ben unwittingly awakens a fiercely protective creature.",5.1
The Mother,"['Action', 'Thriller']","A deadly female assassin comes out of hiding to protect the daughter that she gave up years before, while on the run from dangerous men.",6.8
The Mount 2,['Horror'],"A year after the incident at the Mount, the police are still investigating the murders of Philomena and Caroline. The Mount has been cordoned off by the police. However, on Halloween night, a group of teenagers break in. They plan on holding a wedding between friends, conducted by a rather odd character, however, little did they know some unexpected guests would show up to crash the party.",4.5
Los bastardos,"['Action', 'Thriller', 'Crime', 'Drama']",,7.0
Ghosted,"['Action', 'Comedy', 'Romance']","Salt-of-the-earth Cole falls head over heels for enigmatic Sadie — but then makes the shocking discovery that she’s a secret agent. Before they can decide on a second date, Cole and Sadie are swept away on an international adventure to save the world.",7.1
Spider-Man: No Way Home,"['Action', 'Adventure', 'Science Fiction']","Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",8.0
Crater,"['Science Fiction', 'Action', 'Adventure', 'Family']","After the death of his father, a boy growing up on a lunar mining colony takes a trip to explore a legendary crater, along with his four best friends, prior to being permanently relocated to another planet.",6.6
One Day as a Lion,"['Action', 'Thriller', 'Crime']","Jackie Powers will stop at nothing to prevent his son from following him into a life of crime. With his mob employer in pursuit, a chance encounter at a roadside diner charts a new path.",5.8
Infinity Pool,"['Horror', 'Science Fiction', 'Thriller']","While staying at an isolated island resort, James and Em are enjoying a perfect vacation of pristine beaches, exceptional staff, and soaking up the sun. But guided by the seductive and mysterious Gabi, they venture outside the resort grounds and find themselves in a culture filled with violence, hedonism, and untold horror. A tragic accident leaves them facing a zero tolerance policy for crime: either you'll be executed, or, if you’re rich enough to afford it, you can watch yourself die instead.",6.3
Drunken Fist,['Action'],"In the last years of the Qing Dynasty, Su Qier, the ten tigers of Guangdong, fought a decisive battle between the Ax Gang and the gangsters, and finally founded a school to spread martial arts.",4.8
Extras For Chasing The Dragon,"['Action', 'Crime']","Legendary heroes, lame-rich rises, dragons fight tigers, wealth and danger",3.0
The Wandering Earth II,"['Science Fiction', 'Action', 'Drama']","Humans built huge engines on the surface of the earth to find a new home. But the road to the universe is perilous. In order to save earth, young people once again have to step forward to start a race against time for life and death.",7.2
Scream VI,"['Horror', 'Mystery', 'Thriller']","Following the latest Ghostface killings, the four survivors leave Woodsboro behind and start a fresh chapter.",7.3
Sword Art Online the Movie -Progressive- Scherzo of Deep Night,"['Animation', 'Action', 'Fantasy', 'Science Fiction']","Over a month has passed since 10,000 users were trapped inside the ""Sword Art Online"" world. Asuna, who cleared the first floor of the floating iron castle of Aincrad, joined up with Kirito and continued her journey to reach the top floor. With the support of female Information Broker Argo, clearing the floors seemed to be progressing smoothly, but conflict erupts between two major guilds who should be working together – the top player groups ALS (the Aincrad Liberation Squad) and DKB (the Dragon Knights Brigade). And meanwhile, behind the scenes exists a mysterious figure pulling the strings…",7.7
Fist of the Condor,['Action'],"Upon the empire’s fall to invading conquistadors, the 16th-century Incas quickly concealed a sacred manual containing the secrets behind their deadly fighting technique. But after centuries of careful safeguarding, the manual is again at risk of falling into the wrong hands, leaving its rightful guardian to battle the world’s greatest assassins to protect the ancient secrets within.",7.4
The Best Man,"['Action', 'Thriller']","Mercenaries seize control of a remote resort hotel during a wedding and it's up to the best man, the groom and their drunken best friend to stop the terrorists and save the hostages.",6.0
Black Panther: Wakanda Forever,"['Action', 'Adventure', 'Science Fiction']","Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death.  As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.",7.2
A Deadly Mistake,"['TV Movie', 'Thriller']","After a car accident leaves her boyfriend in a coma, April’s panic attacks return and make her life a living hell. However, once she accepts the kindness of a stranger trying to help her, she realizes that he might not be the stranger she thought he is.",6.4
Jagged Mind,['Horror'],"When Billie finds herself reliving different versions of the same first date, she must break out of a series of loops created by her manipulative ex-girlfriend.",5.7
Black Adam,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']","Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",7.1
Peter Pan & Wendy,"['Family', 'Fantasy', 'Action', 'Adventure']","Wendy Darling, a young girl afraid to leave her childhood home behind, meets Peter Pan, a boy who refuses to grow up. Alongside her brothers and a tiny fairy, Tinker Bell, she travels with Peter to the magical world of Neverland. There, she encounters an evil pirate captain, Captain Hook, and embarks on a thrilling adventure that will change her life forever.",5.7
Dungeons & Dragons: Honor Among Thieves,"['Adventure', 'Fantasy', 'Comedy']","A charming thief and a band of unlikely adventurers undertake an epic heist to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.",7.5
Snag,"['Action', 'Crime', 'Thriller']","An Australian lone wolf's quiet existence is shattered when he learns that the woman he once loved and thought was dead is alive and held captive by ruthless gangsters. Now, to take on this dangerous criminal organization, he must seek out allies and storm into a world of violence to rescue the love of his life in this gritty, modern day violent fairytale.",5.8
The Last Kingdom: Seven Kings Must Die,"['Action', 'Adventure', 'War']","In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",7.3
Suzume,"['Animation', 'Drama', 'Adventure', 'Fantasy']","Suzume, 17, lost her mother as a little girl. On her way to school, she meets a mysterious young man. But her curiosity unleashes a calamity that endangers the entire population of Japan, and so Suzume embarks on a journey to set things right.",7.9
Tin & Tina,"['Horror', 'Thriller', 'Mystery']","After a traumatic miscarriage, Lola and her husband Adolfo adopt Tin and Tina, a lovely albino brother and sister with an ultra-catholic education that makes them interpret Holy Bible verbatim.",6.1
Ancient Chinese Whorehouse,"['History', 'Comedy']","Madam Five and carpenter Kong work together managing a famous whorehouse. Kong's apprentice Yat fails to get along with Ching due to a misunderstanding between them. Luckily, the appearance of a murderous rapist helps to resolve the misunderstanding between them. It also unites the group to defend against the sex maniac and to rebuild Madam Five's business at a new location.",5.5
Cocaine Bear,"['Thriller', 'Comedy', 'Crime']","Inspired by a true story, an oddball group of cops, criminals, tourists and teens converge in a Georgia forest where a 500-pound black bear goes on a murderous rampage after unintentionally ingesting cocaine.",6.3
Beau Is Afraid,"['Comedy', 'Adventure', 'Fantasy']",A paranoid man embarks on an epic odyssey to get home to his mother.,7.0
Transformers: Age of Extinction,"['Science Fiction', 'Action', 'Adventure']","As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",5.9
Fear the Invisible Man,"['Thriller', 'Horror', 'Science Fiction']","A young British widow shelters an old medical school colleague, a man who has somehow turned himself invisible. As his isolation grows and his sanity frays, he schemes to create a reign of wanton murder and terror across the city.",7.8
Murder Mystery 2,"['Comedy', 'Crime']","After starting their own detective agency, Nick and Audrey Spitz land a career-making case when their billionaire pal is kidnapped from his wedding.",6.6
AKA,"['Thriller', 'Action', 'Crime']",A steely special ops agent finds his morality put to the test when he infiltrates a crime syndicate and unexpectedly bonds with the boss' young son.,7.1
Kandahar,"['Action', 'Thriller']","After his mission is exposed, an undercover CIA operative stuck deep in hostile territory in Afghanistan must fight his way out, alongside his Afghan translator, to an extraction point in Kandahar, all whilst avoiding elite enemy forces and foreign spies tasked with hunting them down.",5.0
Island of the Dolls,['Horror'],A group of people go to the legendary Island of the Dolls to learn the deadly truth.,5.2
Mummies,"['Animation', 'Comedy', 'Family', 'Adventure', 'Fantasy']","Through a series of unfortunate events, three mummies end up in present-day London and embark on a wacky and hilarious journey in search of an old ring belonging to the Royal Family, stolen by ambitious archaeologist Lord Carnaby.",7.2
Eternal 831,"['Animation', 'Drama', 'Adventure', 'Science Fiction']","In the present day, the world is in turmoil due to an ""unprecedented disaster."" A young man living in Tokyo, Suzushirō, has a secret he cannot tell anyone. That secret is that he can stop the time around him despite his thoughts. One day, he meets a girl named Nazuna who has the same ""power"". When he learns that she is being used in a crime, he impulsively reaches out to help her.",3.3
Bad Luck Banging or Loony Porn,['Comedy'],"Emi, a school teacher, finds her career and reputation under threat after a personal sex tape is leaked on the Internet. Forced to meet the parents demanding her dismissal, Emi refuses to surrender to their pressure.",6.6
M3GAN,"['Science Fiction', 'Horror']","A brilliant toy company roboticist uses artificial intelligence to develop M3GAN, a life-like doll programmed to emotionally bond with her newly orphaned niece. But when the doll's programming works too well, she becomes overprotective of her new friend with terrifying results.",7.3
No Hard Feelings,"['Comedy', 'Romance', 'Drama']","On the brink of losing her childhood home, Maddie discovers an intriguing job listing: wealthy helicopter parents looking for someone to “date” their introverted 19-year-old son, Percy, before he leaves for college. To her surprise, Maddie soon discovers the awkward Percy is no sure thing.",4.9
Graphic Desires,['Thriller'],"When reclusive Franklin cheats on his partner with a mysterious girl he meets on a dating app, it becomes the start of a deadly obsession.",5.1
Plane,"['Action', 'Adventure', 'Thriller']","After a heroic job of successfully landing his storm-damaged aircraft in a war zone, a fearless pilot finds himself between the agendas of multiple militias planning to take the plane and its passengers hostage.",6.9
Beautiful Disaster,"['Romance', 'Drama', 'Comedy']","Bad-boy Travis is exactly what college freshman Abby needs and wants to avoid. He spends his nights fighting in underground boxing matches, and his days as the ultimate college campus charmer. But Abby wants nothing to do with Travis. Intrigued by Abby’s resistance, Travis offers her a simple bet: if he loses his next fight, he must remain sex-free for a month. If he wins, Abby must live in his apartment for the same amount of time. Either way, Travis has no idea that Abby’s dark past is about to emerge, and he may have finally met his match.",6.4
About My Father,['Comedy'],"Encouraged by his fiancee, a man and his father spend the weekend with her wealthy and exceedingly eccentric family. The gathering soon develops into a culture clash, allowing father and son to discover the true meaning of family.",6.0
Avengers: Infinity War,"['Adventure', 'Action', 'Science Fiction']","As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",8.3
The Sensuous Nurse,['Comedy'],Greedy relatives hire a sensual caregiver to hasten the demise of a wealthy count suffering from a heart condition.,5.5
Through My Window: Across the Sea,"['Romance', 'Drama']","After a year of long-distance, Raquel and Ares reunite on a steamy beach trip. Faced with fresh flirtations and insecurities, will their love prevail?",10.0
Renfield,"['Comedy', 'Horror', 'Fantasy']","Having grown sick and tired of his centuries as Dracula's lackey, Renfield finds a new lease on life — and maybe even redemption — when he falls for feisty, perennially angry traffic cop Rebecca Quincy.",6.8
65,"['Science Fiction', 'Action', 'Adventure', 'Thriller']","65 million years ago, the only 2 survivors of a spaceship from Somaris that crash-landed on Earth, must fend off dinosaurs to reach the escape vessel in time before an imminent asteroid strike threatens to destroy the planet.",6.2
Avatar,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",7.6
The Whale,['Drama'],A reclusive English teacher suffering from severe obesity attempts to reconnect with his estranged teenage daughter for one last chance at redemption.,8.0
Thor: Love and Thunder,"['Fantasy', 'Action', 'Comedy']","After his retirement is interrupted by Gorr the God Butcher, a galactic killer who seeks the extinction of the gods, Thor Odinson enlists the help of King Valkyrie, Korg, and ex-girlfriend Jane Foster, who now wields Mjolnir as the Mighty Thor. Together they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher’s vengeance and stop him before it’s too late.",6.6
Top Gun: Maverick,"['Action', 'Drama']","After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",8.3
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","['Adventure', 'Family', 'Fantasy']","Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.",7.1
Fall,['Thriller'],"For best friends Becky and Hunter, life is all about conquering fears and pushing limits. But after they climb 2,000 feet to the top of a remote, abandoned radio tower, they find themselves stranded with no way down. Now Becky and Hunter’s expert climbing skills will be put to the ultimate test as they desperately fight to survive the elements, a lack of supplies, and vertigo-inducing heights",7.3
Attack on Titan,"['Action', 'Science Fiction']","As viable water is depleted on Earth, a mission is sent to Saturn's moon Titan to retrieve sustainable H2O reserves from its alien inhabitants. But just as the humans acquire the precious resource, they are attacked by Titan rebels, who don't trust that the Earthlings will leave in peace.",6.0
Sonic the Hedgehog 2,"['Action', 'Adventure', 'Family', 'Comedy']","After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.",7.6
You Do You,"['Comedy', 'Romance']","Merve chose the bohemian life, but it didn't choose her back. Faced with eviction, she starts a new job and stumbles into a spicy setup with her boss.",6.5
Jurassic World Dominion,"['Adventure', 'Action', 'Science Fiction']","Four years after Isla Nublar was destroyed, dinosaurs now live—and hunt—alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators ona planet they now share with history's most fearsome creatures.",6.8
The Ghosts of Monday,"['Horror', 'Thriller']",A group of US filmmakers travel to Cyprus to film a documentary in the tragically famous Hotel Gula - a once popular resort where more than 100 people died in mysterious circumstances. What begins as just another day at the office will eventually turn into a terrifying journey into the unknown.,4.9
The Batman,"['Crime', 'Mystery', 'Thriller']","In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",7.7
Barbie,['Comedy'],"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",0.0
Battle for Saipan,"['War', 'History', 'Action']","On July 7, 1944, a U.S. Army hospital on the remote island of Saipan is overrun by Japanese forces during a relentless attack. Outgunned and surrounded by the enemy, a lone medic puts it all on the line to lead a band of wounded soldiers to safety.",5.8
The Swan Princess: A Fairytale Is Born,"['Family', 'Animation', 'Fantasy']","Before becoming queen, Uberta lived a humble life with her husband Maximillian when she is suddenly thrust into royalty. Through triumph and tragedy, she learns the lessons needed to become a beloved Queen, all while raising the next generation of rulers. When it's time for Uberta to pass the royal scepter to Odette and Derek, rival Queen Wixom has plans of her own to ruin the kingdom's greatest coronation.",7.2
Winnie the Pooh: Blood and Honey,"['Horror', 'Thriller']","Christopher Robin is headed off to college and he has abandoned his old friends, Pooh and Piglet, which then leads to the duo embracing their inner monsters.",5.7
Lullaby,['Horror'],A new mother discovers a lullaby in an ancient book and soon regards the song as a blessing. But her world transforms into a nightmare when the lullaby brings forth the ancient demon Lilith.,5.7
Chupa,"['Adventure', 'Fantasy', 'Family']","While visiting family in Mexico, a lonely boy befriends a mythical creature hiding on his grandfather's ranch and embarks on the adventure of a lifetime.",6.5
The Little Mermaid,"['Animation', 'Family', 'Fantasy']",This colorful adventure tells the story of an impetuous mermaid princess named Ariel who falls in love with the very human Prince Eric and puts everything on the line for the chance to be with him. Memorable songs and characters -- including the villainous sea witch Ursula.,7.4
Prey,"['Thriller', 'Action', 'Science Fiction']","When danger threatens her camp, the fierce and highly skilled Comanche warrior Naru sets out to protect her people. But the prey she stalks turns out to be a highly evolved alien predator with a technically advanced arsenal.",7.8
Terrifier 2,"['Horror', 'Thriller']","After being resurrected by a sinister entity, Art the Clown returns to Miles County where he must hunt down and destroy a teenage girl and her younger brother on Halloween night.  As the body count rises, the siblings fight to stay alive while uncovering the true nature of Art's evil intent.",6.9
After Ever Happy,"['Romance', 'Drama']","As a shocking truth about a couple's families emerges, the two lovers discover they are not so different from each other. Tessa is no longer the sweet, simple, good girl she was when she met Hardin — any more than he is the cruel, moody boy she fell so hard for.",6.8
En temporada baja,['Comedy'],,6.6
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,"['Animation', 'Action', 'Adventure', 'Fantasy', 'Thriller']","Tanjiro Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyojuro Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!",8.3
Hacksaw Ridge,"['Drama', 'History', 'War']","WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.",8.2
Hunt,"['Action', 'Mystery', 'Thriller']","After a high-ranking North Korean official requests asylum, KCIA Foreign Unit chief Park Pyong-ho and Domestic Unit chief Kim Jung-do are tasked with uncovering a North Korean spy, known as Donglim, who is deeply embedded within their agency. When the spy begins leaking top secret intel that could jeopardize national security, the two units are each assigned to investigate each other.",6.7
Polite Society,"['Action', 'Comedy', 'Drama']","Martial artist-in-training Ria Khan believes she must save her older sister Lena from her impending marriage. After enlisting the help of her friends, Ria attempts to pull off the most ambitious of all wedding heists in the name of independence and sisterhood.",6.6
Spider-Man: Beyond the Spider-Verse,"['Animation', 'Action', 'Adventure', 'Science Fiction', 'Fantasy']",The final chapter of Miles Morales and the many other Spider-People from different realities.,0.0
The Woman King,"['Action', 'Drama', 'History']","The story of the Agojie, the all-female unit of warriors who protected the African Kingdom of Dahomey in the 1800s with skills and a fierceness unlike anything the world has ever seen, and General Nanisca as she trains the next generation of recruits and readies them for battle against an enemy determined to destroy their way of life.",7.8
Doctor Strange in the Multiverse of Madness,"['Fantasy', 'Action', 'Adventure']","Doctor Strange, with the help of mystical allies both old and new, traverses the mind-bending and dangerous alternate realities of the Multiverse to confront a mysterious new adversary.",7.4
Transformers: The Last Knight,"['Action', 'Adventure', 'Science Fiction']","Autobots and Decepticons are at war, with humans on the sidelines. Optimus Prime is gone. The key to saving our future lies buried in the secrets of the past, in the hidden history of Transformers on Earth.",6.1
¡Asu Mare! Los amigos,['Comedy'],"Cachin's friends are back. After overcoming many adversities, an inheritance will put them to the test, facing funny situations and dark characters that will try to boycott one of their greatest dreams.",6.7
